Frame Cars_Data RSSI
94 "[{'vehId': 'veh12', 'x_coor': 77.06191096479262, 'y_coor': 43.955097871305725, 'z_coor': -14.38160228729248, 'angle': -5.636544358306623, 'velocity': 17.054837855486408}, {'vehId': 'veh3', 'x_coor': 398.79686059220904, 'y_coor': 201.3547269567033, 'z_coor': 9.87597370147705, 'angle': -2.683714630035183, 'velocity': 15.626787645406896}, {'vehId': 'veh7', 'x_coor': -83.22528491387499, 'y_coor': 67.2966036642539, 'z_coor': 7.53873872756958, 'angle': -7.114191312853983, 'velocity': 14.39127993464609}, {'vehId': 'veh9', 'x_coor': -7.563638755652164, 'y_coor': 49.876647655261706, 'z_coor': 8.48758316040039, 'angle': -5.645766426654193, 'velocity': 14.60401048901423}]" "{'veh12': {'veh12': 0, 'veh3': -200, 'veh7': -200, 'veh9': -200}, 'veh3': {'veh12': -200, 'veh3': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh3': -200, 'veh7': 0, 'veh9': -88.55409622192383}, 'veh9': {'veh12': -200, 'veh3': -200, 'veh7': -88.54535102844238, 'veh9': 0}}"
95 "[{'vehId': 'veh12', 'x_coor': 63.925733300570016, 'y_coor': 33.5008282453918, 'z_coor': -17.94512176513672, 'angle': -5.610987314801072, 'velocity': 16.7556731846642}, {'vehId': 'veh7', 'x_coor': -93.805292789791, 'y_coor': 78.80137358567839, 'z_coor': 8.0, 'angle': -7.110432301391454, 'velocity': 15.572136493537792}, {'vehId': 'veh9', 'x_coor': -19.330251173699025, 'y_coor': 41.10444895578377, 'z_coor': 8.0, 'angle': -5.642560092568463, 'velocity': 14.677405540751547}]" "{'veh12': {'veh12': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh7': 0, 'veh9': -83.68466377258301}, 'veh9': {'veh12': -200, 'veh7': -83.73641967773438, 'veh9': 0}}"
96 "[{'vehId': 'veh12', 'x_coor': 50.82659445194929, 'y_coor': 22.622921643746793, 'z_coor': -18.27162742614746, 'angle': -5.583292437460345, 'velocity': 16.994936076248276}, {'vehId': 'veh14', 'x_coor': 369.81, 'y_coor': -36.06999999999999, 'z_coor': 10.999999046325684, 'angle': -5.672667156586227, 'velocity': 6.92223}, {'vehId': 'veh7', 'x_coor': -104.75562976730708, 'y_coor': 90.70603838975262, 'z_coor': 8.0, 'angle': -7.110249170528325, 'velocity': 16.115148000114814}, {'vehId': 'veh9', 'x_coor': -28.317129138076837, 'y_coor': 34.40458697421889, 'z_coor': 8.0, 'angle': -5.642560092568463, 'velocity': 11.210027809372797}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -81.99108123779297}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -81.97493553161621, 'veh9': 0}}"
97 "[{'vehId': 'veh12', 'x_coor': 38.10671217222455, 'y_coor': 11.911441829241767, 'z_coor': -18.27162742614746, 'angle': -5.583292437460345, 'velocity': 16.596794932334895}, {'vehId': 'veh14', 'x_coor': 365.6736554710389, 'y_coor': -40.75179047656712, 'z_coor': 11.000000953674316, 'angle': -5.435904518832281, 'velocity': 6.085740274747386}, {'vehId': 'veh7', 'x_coor': -115.3367140439874, 'y_coor': 102.20775064874266, 'z_coor': 9.106184959411621, 'angle': -7.110249170528317, 'velocity': 15.57062035268008}, {'vehId': 'veh9', 'x_coor': -33.69643792177101, 'y_coor': 30.39422580654434, 'z_coor': 8.0, 'angle': -5.642560092568454, 'velocity': 6.7100278093727965}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -85.0133228302002}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -84.12459373474121, 'veh9': 0}}"
98 "[{'vehId': 'veh12', 'x_coor': 25.39712945324112, 'y_coor': 1.208635329045137, 'z_coor': -18.27162742614746, 'angle': -5.58329243746034, 'velocity': 16.58335615249744}, {'vehId': 'veh14', 'x_coor': 362.43662351712163, 'y_coor': -46.87636509783522, 'z_coor': 10.999999046325684, 'angle': -5.195993864836302, 'velocity': 6.748341001917161}, {'vehId': 'veh7', 'x_coor': -126.30615933098187, 'y_coor': 114.13161402915313, 'z_coor': 10.262986183166504, 'angle': -7.11024917052831, 'velocity': 16.14211394381545}, {'vehId': 'veh9', 'x_coor': -40.59656601685526, 'y_coor': 26.092796108642062, 'z_coor': 8.366138458251953, 'angle': -5.766446459298465, 'velocity': 8.162646640964642}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -84.21150207519531}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -84.23686981201172, 'veh9': 0}}"
99 "[{'vehId': 'veh12', 'x_coor': 13.164817399874153, 'y_coor': -9.092259031684875, 'z_coor': -18.298986434936523, 'angle': -5.583292437460345, 'velocity': 15.960617420309433}, {'vehId': 'veh14', 'x_coor': 358.9068441439875, 'y_coor': -52.33099819839941, 'z_coor': 11.0, 'angle': -5.315641054960664, 'velocity': 6.358088018114231}, {'vehId': 'veh7', 'x_coor': -137.431379828991, 'y_coor': 126.22480614821876, 'z_coor': 11.436210632324219, 'angle': -7.110249170528319, 'velocity': 16.37134533519692}, {'vehId': 'veh9', 'x_coor': -47.753685833574764, 'y_coor': 26.935553802565835, 'z_coor': 8.695853233337402, 'angle': -6.6327963321291925, 'velocity': 7.799323041072904}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -80.41766166687012}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -80.44867515563965, 'veh9': 0}}"
100 "[{'vehId': 'veh12', 'x_coor': 0.013010642529252436, 'y_coor': -20.16746472208058, 'z_coor': -18.346538543701172, 'angle': -5.583292437460345, 'velocity': 17.1603663415408}, {'vehId': 'veh14', 'x_coor': 354.36264019024173, 'y_coor': -57.319110895720655, 'z_coor': 11.0, 'angle': -5.479169772414868, 'velocity': 6.743012812219113}, {'vehId': 'veh7', 'x_coor': -148.25432067960423, 'y_coor': 137.98941818653037, 'z_coor': 12.300067901611328, 'angle': -7.110249170528322, 'velocity': 15.92652498343795}, {'vehId': 'veh9', 'x_coor': -54.54975775660296, 'y_coor': 34.69863931830582, 'z_coor': 8.5189847946167, 'angle': -7.134905669133519, 'velocity': 10.279378462547294}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -86.04023933410645}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -84.78072166442871, 'veh9': 0}}"
101 "[{'vehId': 'veh12', 'x_coor': -12.387754262378905, 'y_coor': -30.610214115687484, 'z_coor': -18.39485740661621, 'angle': -5.58329243746034, 'velocity': 16.180413277795747}, {'vehId': 'veh14', 'x_coor': 349.75665720933483, 'y_coor': -60.95117883584743, 'z_coor': 11.0, 'angle': -5.615462485869893, 'velocity': 5.934803834345676}, {'vehId': 'veh7', 'x_coor': -159.33856759354612, 'y_coor': 150.012543427989, 'z_coor': 12.82943344116211, 'angle': -7.109504702407613, 'velocity': 16.300906559241223}, {'vehId': 'veh9', 'x_coor': -62.51023527986598, 'y_coor': 43.79181379602397, 'z_coor': 8.040740013122559, 'angle': -7.134905669133511, 'velocity': 12.040596705127365}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -85.99852561950684}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -86.10816955566406, 'veh9': 0}}"
102 "[{'vehId': 'veh12', 'x_coor': -24.90474054812995, 'y_coor': -41.150834145793624, 'z_coor': -18.39635467529297, 'angle': -5.58329243746034, 'velocity': 16.332057953601915}, {'vehId': 'veh14', 'x_coor': 345.3220129080068, 'y_coor': -64.4481369139574, 'z_coor': 11.021208763122559, 'angle': -5.615462485869898, 'velocity': 5.714034140503518}, {'vehId': 'veh7', 'x_coor': -170.74619770730712, 'y_coor': 162.39420438429653, 'z_coor': 13.630121231079102, 'angle': -7.109504702407613, 'velocity': 16.839135795224674}, {'vehId': 'veh9', 'x_coor': -71.36408164494037, 'y_coor': 53.905474636250915, 'z_coor': 7.38661003112793, 'angle': -7.134905669133512, 'velocity': 13.39185910135214}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -86.3555908203125}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -86.34413719177246, 'veh9': 0}}"
103 "[{'vehId': 'veh12', 'x_coor': -37.65440486269472, 'y_coor': -51.88739356858497, 'z_coor': -18.386323928833008, 'angle': -5.583292437460345, 'velocity': 16.635654279775196}, {'vehId': 'veh14', 'x_coor': 340.56806606960964, 'y_coor': -68.19688239833818, 'z_coor': 11.459725379943848, 'angle': -5.615462485869885, 'velocity': 6.12545509650141}, {'vehId': 'veh7', 'x_coor': -181.2834868899487, 'y_coor': 173.83121108568412, 'z_coor': 14.369823455810547, 'angle': -7.109504702407621, 'velocity': 15.554400141884791}, {'vehId': 'veh9', 'x_coor': -81.9269052158188, 'y_coor': 65.88473706907035, 'z_coor': 7.4640913009643555, 'angle': -7.123545367349167, 'velocity': 15.912584971717417}]" "{'veh12': {'veh12': 0, 'veh14': -200, 'veh7': -200, 'veh9': -200}, 'veh14': {'veh12': -200, 'veh14': 0, 'veh7': -200, 'veh9': -200}, 'veh7': {'veh12': -200, 'veh14': -200, 'veh7': 0, 'veh9': -83.74752044677734}, 'veh9': {'veh12': -200, 'veh14': -200, 'veh7': -83.9411449432373, 'veh9': 0}}"
