Frame RSSI_to_0 RSSI_to_1
0.0  
1.0  
2.0  
3.0  
4.0  
5.0  
6.0  
7.0 0.0 -100.0
8.0 0.0 -100.0
9.0 0.0 -100.0
10.0 0.0 -100.0
11.0 0.0 -100.0
