Frame Cars_Data PathLoss RSSI
50 "[{'vehId': 'veh1', 'x_coor': -333.24921352031595, 'y_coor': -460.01374863278176, 'z_coor': -0.40135321021080017, 'angle': -3.3909665653533634, 'velocity': 16.49586392258741}, {'vehId': 'veh3', 'x_coor': 741.1090149568131, 'y_coor': 331.8283300730626, 'z_coor': -0.40135321021080017, 'angle': -3.9492862982191146, 'velocity': 12.77654697410603}, {'vehId': 'veh6', 'x_coor': -1028.596258152929, 'y_coor': -579.9951732094898, 'z_coor': -0.40135321021080017, 'angle': -7.093175396344755, 'velocity': 16.035971270732798}, {'vehId': 'veh7', 'x_coor': -205.48362724748256, 'y_coor': 218.21602999196818, 'z_coor': -0.40135321021080017, 'angle': -3.6984468480988513, 'velocity': 14.975486044482581}, {'vehId': 'veh8', 'x_coor': -172.5956650636192, 'y_coor': 199.06849163252116, 'z_coor': -0.40135321021080017, 'angle': -3.641024503387536, 'velocity': 13.800246919925705}, {'vehId': 'veh9', 'x_coor': -718.42615248658, 'y_coor': 896.7318375564313, 'z_coor': -0.4013531804084778, 'angle': -5.752404831707009, 'velocity': 10.805219392673262}]" "{'veh1': {'veh1': 0, 'veh3': 0, 'veh6': -112.99996376037598, 'veh7': -99.2997932434082, 'veh8': -97.92843818664551, 'veh9': 0}, 'veh3': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': 0}, 'veh6': {'veh1': -109.35834884643555, 'veh3': 0, 'veh6': 0, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh7': {'veh1': -99.29545402526855, 'veh3': -134.03027534484863, 'veh6': 0, 'veh7': 0, 'veh8': -76.0740613937378, 'veh9': -111.54238700866699}, 'veh8': {'veh1': -97.83498764038086, 'veh3': -133.81487846374512, 'veh6': 0, 'veh7': -76.07243537902832, 'veh8': 0, 'veh9': -114.16138648986816}, 'veh9': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -110.39440155029297, 'veh8': -113.17102432250977, 'veh9': 0}}" "{'veh1': {'veh1': 0, 'veh3': -200, 'veh6': 32.70537757873535, 'veh7': 19.197681427001953, 'veh8': 17.975847244262695, 'veh9': -200}, 'veh3': {'veh1': -200, 'veh3': 0, 'veh6': -200, 'veh7': 117.09149169921875, 'veh8': 117.37001037597656, 'veh9': -200}, 'veh6': {'veh1': 29.063762664794922, 'veh3': -200, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh7': {'veh1': 19.193342208862305, 'veh3': 51.12176704406738, 'veh6': -200, 'veh7': 0, 'veh8': 21.142497062683105, 'veh9': 29.624906539916992}, 'veh8': {'veh1': 17.882396697998047, 'veh3': 51.18488883972168, 'veh6': -200, 'veh7': 21.140871047973633, 'veh8': 0, 'veh9': 31.89141273498535}, 'veh9': {'veh1': -200, 'veh3': -200, 'veh6': -200, 'veh7': 28.47692108154297, 'veh8': 30.901050567626953, 'veh9': 0}}"
51 "[{'vehId': 'veh1', 'x_coor': -316.24007972786455, 'y_coor': -463.6589088176815, 'z_coor': -0.40135321021080017, 'angle': -3.3492971265859106, 'velocity': 17.370193297783658}, {'vehId': 'veh3', 'x_coor': 749.997415990347, 'y_coor': 322.53447981346346, 'z_coor': -0.40135321021080017, 'angle': -3.949286298219049, 'velocity': 12.860041143813438}, {'vehId': 'veh6', 'x_coor': -1039.5787943551484, 'y_coor': -568.4554090437504, 'z_coor': -0.4013531804084778, 'angle': -7.093240134927357, 'velocity': 15.930171275416606}, {'vehId': 'veh7', 'x_coor': -193.46932080207216, 'y_coor': 210.89984005352983, 'z_coor': -0.40135321021080017, 'angle': -3.673507204293272, 'velocity': 14.068202813402072}, {'vehId': 'veh8', 'x_coor': -160.49989814559967, 'y_coor': 192.59637229198336, 'z_coor': -0.40135321021080017, 'angle': -3.62939165121908, 'velocity': 13.713239793853283}, {'vehId': 'veh9', 'x_coor': -724.110463396046, 'y_coor': 893.1408267719263, 'z_coor': -0.40135321021080017, 'angle': -5.708519814440593, 'velocity': 6.721830630464739}]" "{'veh1': {'veh1': 0, 'veh3': 0, 'veh6': -121.67146682739258, 'veh7': -99.08504486083984, 'veh8': -98.01363945007324, 'veh9': 0}, 'veh3': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': 0}, 'veh6': {'veh1': -114.56165313720703, 'veh3': 0, 'veh6': 0, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh7': {'veh1': -99.002685546875, 'veh3': -200, 'veh6': 0, 'veh7': 0, 'veh8': -76.0250186920166, 'veh9': -112.10007667541504}, 'veh8': {'veh1': -97.87128448486328, 'veh3': -200, 'veh6': 0, 'veh7': -76.02536201477051, 'veh8': 0, 'veh9': -114.1250991821289}, 'veh9': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -111.6600227355957, 'veh8': -113.38805198669434, 'veh9': 0}}" "{'veh1': {'veh1': 0, 'veh3': -200, 'veh6': 41.0712776184082, 'veh7': 19.03998565673828, 'veh8': 18.11109733581543, 'veh9': -200}, 'veh3': {'veh1': -200, 'veh3': 0, 'veh6': -200, 'veh7': 117.1219482421875, 'veh8': 117.40373229980469, 'veh9': -200}, 'veh6': {'veh1': 33.961463928222656, 'veh3': -200, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh7': {'veh1': 18.957626342773438, 'veh3': 117.1219482421875, 'veh6': -200, 'veh7': 0, 'veh8': 21.17289161682129, 'veh9': 30.043542861938477}, 'veh8': {'veh1': 17.96874237060547, 'veh3': 117.40373229980469, 'veh6': -200, 'veh7': 21.173234939575195, 'veh8': 0, 'veh9': 31.72559356689453}, 'veh9': {'veh1': -200, 'veh3': -200, 'veh6': -200, 'veh7': 29.60348892211914, 'veh8': 30.98854637145996, 'veh9': 0}}"
52 "[{'vehId': 'veh1', 'x_coor': -300.073541396325, 'y_coor': -467.066467715027, 'z_coor': -0.40135324001312256, 'angle': -3.3493661430766024, 'velocity': 16.514939085575566}, {'vehId': 'veh3', 'x_coor': 758.1402558082182, 'y_coor': 314.02019994808813, 'z_coor': -0.40135321021080017, 'angle': -3.949286298219082, 'velocity': 11.78133780082994}, {'vehId': 'veh6', 'x_coor': -1050.4035089522142, 'y_coor': -557.0841919696031, 'z_coor': -0.40135321021080017, 'angle': -7.093200237735364, 'velocity': 15.699863678331704}, {'vehId': 'veh7', 'x_coor': -180.7727021823987, 'y_coor': 203.5881729224717, 'z_coor': -0.40135321021080017, 'angle': -3.653537362002607, 'velocity': 14.65270894911538}, {'vehId': 'veh8', 'x_coor': -147.86311650478615, 'y_coor': 185.87777183361607, 'z_coor': -0.40135321021080017, 'angle': -3.6310916665743753, 'velocity': 14.30722318061293}, {'vehId': 'veh9', 'x_coor': -729.158831712999, 'y_coor': 887.9831874076395, 'z_coor': -0.40135324001312256, 'angle': -5.434385154046402, 'velocity': 7.278411041059791}]" "{'veh1': {'veh1': 0, 'veh3': 0, 'veh6': -123.25292587280273, 'veh7': -98.49732398986816, 'veh8': -98.85479927062988, 'veh9': 0}, 'veh3': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -127.51723289489746, 'veh8': -129.92063522338867, 'veh9': 0}, 'veh6': {'veh1': -200, 'veh3': 0, 'veh6': 0, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh7': {'veh1': -98.37698936462402, 'veh3': -200, 'veh6': 0, 'veh7': 0, 'veh8': -75.16751766204834, 'veh9': -113.91376495361328}, 'veh8': {'veh1': -98.81500244140625, 'veh3': -200, 'veh6': 0, 'veh7': -75.16862869262695, 'veh8': 0, 'veh9': -113.59606742858887}, 'veh9': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -112.01395034790039, 'veh8': -113.5303783416748, 'veh9': 0}}" "{'veh1': {'veh1': 0, 'veh3': -200, 'veh6': 42.3626823425293, 'veh7': 18.508920669555664, 'veh8': 19.004335403442383, 'veh9': -200}, 'veh3': {'veh1': -200, 'veh3': 0, 'veh6': -200, 'veh7': 44.68192100524902, 'veh8': 47.36887741088867, 'veh9': -200}, 'veh6': {'veh1': 119.10975646972656, 'veh3': -200, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh7': {'veh1': 18.388586044311523, 'veh3': 117.16468811035156, 'veh6': -200, 'veh7': 0, 'veh8': 20.39334774017334, 'veh9': 31.73065948486328}, 'veh8': {'veh1': 18.96453857421875, 'veh3': 117.4482421875, 'veh6': -200, 'veh7': 20.394458770751953, 'veh8': 0, 'veh9': 31.077665328979492}, 'veh9': {'veh1': -200, 'veh3': -200, 'veh6': -200, 'veh7': 29.83084487915039, 'veh8': 31.01197624206543, 'veh9': 0}}"
53 "[{'vehId': 'veh1', 'x_coor': -283.08607743700736, 'y_coor': -470.6396757128638, 'z_coor': -0.4013531804084778, 'angle': -3.3486259028056824, 'velocity': 17.356520242541844}, {'vehId': 'veh3', 'x_coor': 766.7411788824108, 'y_coor': 305.02694111060976, 'z_coor': -0.40135321021080017, 'angle': -3.949286298219082, 'velocity': 12.444108247545817}, {'vehId': 'veh6', 'x_coor': -1061.8996270637654, 'y_coor': -545.0076745349618, 'z_coor': -0.40135321021080017, 'angle': -7.093200237735364, 'velocity': 16.673648581023546}, {'vehId': 'veh7', 'x_coor': -168.21084716199357, 'y_coor': 196.68752627638685, 'z_coor': -0.40135321021080017, 'angle': -3.6390524491445095, 'velocity': 14.327516614239917}, {'vehId': 'veh8', 'x_coor': -136.1049033275499, 'y_coor': 179.9991641245009, 'z_coor': -0.40135321021080017, 'angle': -3.5992384879334565, 'velocity': 13.152555669705764}, {'vehId': 'veh9', 'x_coor': -727.9902543875073, 'y_coor': 881.2946093518341, 'z_coor': -0.40135321021080017, 'angle': -4.433572693429862, 'velocity': 6.9225364382604875}]" "{'veh1': {'veh1': 0, 'veh3': 0, 'veh6': -114.10093307495117, 'veh7': -98.11690330505371, 'veh8': -99.0895938873291, 'veh9': 0}, 'veh3': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': 0}, 'veh6': {'veh1': -114.02007102966309, 'veh3': 0, 'veh6': 0, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh7': {'veh1': -97.47892379760742, 'veh3': -200, 'veh6': 0, 'veh7': 0, 'veh8': -75.22875785827637, 'veh9': -113.58433723449707}, 'veh8': {'veh1': -98.92765998840332, 'veh3': -200, 'veh6': 0, 'veh7': -75.23179054260254, 'veh8': 0, 'veh9': -135.81809997558594}, 'veh9': {'veh1': 0, 'veh3': 0, 'veh6': 0, 'veh7': -113.02618980407715, 'veh8': -121.6196346282959, 'veh9': 0}}" "{'veh1': {'veh1': 0, 'veh3': -200, 'veh6': 32.90970993041992, 'veh7': 18.180166244506836, 'veh8': 19.28350257873535, 'veh9': -200}, 'veh3': {'veh1': -200, 'veh3': 0, 'veh6': -200, 'veh7': 117.20315551757812, 'veh8': 117.48208618164062, 'veh9': -200}, 'veh6': {'veh1': 32.828847885131836, 'veh3': -200, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh7': {'veh1': 17.542186737060547, 'veh3': 117.20315551757812, 'veh6': -200, 'veh7': 0, 'veh8': 20.735258102416992, 'veh9': 31.32890510559082}, 'veh8': {'veh1': 19.12156867980957, 'veh3': 117.48208618164062, 'veh6': -200, 'veh7': 20.738290786743164, 'veh8': 0, 'veh9': 53.24110412597656}, 'veh9': {'veh1': -200, 'veh3': -200, 'veh6': -200, 'veh7': 30.7707576751709, 'veh8': 39.04263877868652, 'veh9': 0}}"
54 "[{'vehId': 'veh1', 'x_coor': -266.553953952505, 'y_coor': -475.7474236765537, 'z_coor': -0.40135321021080017, 'angle': -3.383938939208721, 'velocity': 17.431757601718232}, {'vehId': 'veh11', 'x_coor': -985.2076256372907, 'y_coor': -625.572793153678, 'z_coor': -0.40135321021080017, 'angle': -7.092793062199953, 'velocity': 0.0}, {'vehId': 'veh3', 'x_coor': 775.4298875357854, 'y_coor': 295.94189230722066, 'z_coor': -0.4013531804084778, 'angle': -3.9492862982191146, 'velocity': 12.571119411404513}, {'vehId': 'veh6', 'x_coor': -1073.1849021031037, 'y_coor': -533.1526449114965, 'z_coor': -0.40135321021080017, 'angle': -7.093200237735368, 'velocity': 16.367847678692296}, {'vehId': 'veh7', 'x_coor': -155.27914747467366, 'y_coor': 189.82540646277891, 'z_coor': -0.40135321021080017, 'angle': -3.6295721370622, 'velocity': 14.633900996124625}, {'vehId': 'veh8', 'x_coor': -123.75722268321397, 'y_coor': 174.05810102723592, 'z_coor': -0.40135321021080017, 'angle': -3.5877629679742733, 'velocity': 13.70370097682011}, {'vehId': 'veh9', 'x_coor': -725.2160233211064, 'y_coor': 872.6028972934424, 'z_coor': -0.40135324001312256, 'angle': -4.403428957313569, 'velocity': 9.128169939223937}]" "{'veh1': {'veh1': 0, 'veh11': -110.9346866607666, 'veh3': 0, 'veh6': -114.4422435760498, 'veh7': -97.73125648498535, 'veh8': -97.1201229095459, 'veh9': 0}, 'veh11': {'veh1': -110.94998359680176, 'veh11': 0, 'veh3': 0, 'veh6': -85.62502861022949, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh3': {'veh1': 0, 'veh11': 0, 'veh3': 0, 'veh6': 0, 'veh7': -124.03801918029785, 'veh8': -200, 'veh9': 0}, 'veh6': {'veh1': -111.3169002532959, 'veh11': -85.63254356384277, 'veh3': 0, 'veh6': 0, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh7': {'veh1': -97.37029075622559, 'veh11': 0, 'veh3': -200, 'veh6': 0, 'veh7': 0, 'veh8': -75.50778865814209, 'veh9': -108.4855842590332}, 'veh8': {'veh1': -96.98901176452637, 'veh11': 0, 'veh3': -123.88147354125977, 'veh6': 0, 'veh7': -75.5080509185791, 'veh8': 0, 'veh9': -200}, 'veh9': {'veh1': 0, 'veh11': 0, 'veh3': 0, 'veh6': 0, 'veh7': -109.58560943603516, 'veh8': -200, 'veh9': 0}}" "{'veh1': {'veh1': 0, 'veh11': 30.2963809967041, 'veh3': -200, 'veh6': 32.963666915893555, 'veh7': 17.824487686157227, 'veh8': 17.33649253845215, 'veh9': -200}, 'veh11': {'veh1': 30.311677932739258, 'veh11': 0, 'veh3': -200, 'veh6': 20.18494987487793, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh3': {'veh1': -200, 'veh11': -200, 'veh3': 0, 'veh6': -200, 'veh7': 41.28251075744629, 'veh8': 117.52079772949219, 'veh9': -200}, 'veh6': {'veh1': 29.83832359313965, 'veh11': 20.19246482849121, 'veh3': -200, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh7': {'veh1': 17.46352195739746, 'veh11': -200, 'veh3': 117.24449157714844, 'veh6': -200, 'veh7': 0, 'veh8': 21.24259090423584, 'veh9': 26.180606842041016}, 'veh8': {'veh1': 17.205381393432617, 'veh11': -200, 'veh3': 41.40227127075195, 'veh6': -200, 'veh7': 21.24285316467285, 'veh8': 0, 'veh9': 117.38412475585938}, 'veh9': {'veh1': -200, 'veh11': -200, 'veh3': -200, 'veh6': -200, 'veh7': 27.28063201904297, 'veh8': 117.38412475585938, 'veh9': 0}}"
55 "[{'vehId': 'veh1', 'x_coor': -250.3983665475929, 'y_coor': -479.1438497261015, 'z_coor': -0.40135324001312256, 'angle': -3.3488073109516803, 'velocity': 16.46455099307448}, {'vehId': 'veh11', 'x_coor': -986.4649489880634, 'y_coor': -624.2530683272071, 'z_coor': -0.40135321021080017, 'angle': -7.092793062199945, 'velocity': 1.822919704974629}, {'vehId': 'veh3', 'x_coor': 783.8839559148976, 'y_coor': 287.1021870212586, 'z_coor': -0.4013531804084778, 'angle': -3.9492862982190813, 'velocity': 12.231633876309067}, {'vehId': 'veh6', 'x_coor': -1084.2403356285345, 'y_coor': -521.5390607066478, 'z_coor': -0.40135321021080017, 'angle': -7.0932002377353705, 'velocity': 16.03449196722194}, {'vehId': 'veh7', 'x_coor': -142.78859007793403, 'y_coor': 183.29691609520944, 'z_coor': -0.40135321021080017, 'angle': -3.6100097017836186, 'velocity': 14.096454597650348}, {'vehId': 'veh8', 'x_coor': -111.05707605957627, 'y_coor': 168.2716403769856, 'z_coor': -0.40135321021080017, 'angle': -3.549292814431589, 'velocity': 13.958898110316515}, {'vehId': 'veh9', 'x_coor': -721.7013686927505, 'y_coor': 861.9208504125589, 'z_coor': -0.40135321021080017, 'angle': -4.389365210420637, 'velocity': 11.244591992263832}]" "{'veh1': {'veh1': 0, 'veh11': -111.34029388427734, 'veh3': 0, 'veh6': -200, 'veh7': -105.54091453552246, 'veh8': -102.76579856872559, 'veh9': 0}, 'veh11': {'veh1': -111.33268356323242, 'veh11': 0, 'veh3': 0, 'veh6': -86.51214599609375, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh3': {'veh1': 0, 'veh11': 0, 'veh3': 0, 'veh6': 0, 'veh7': -123.9072036743164, 'veh8': -200, 'veh9': 0}, 'veh6': {'veh1': -124.46283340454102, 'veh11': -86.51212692260742, 'veh3': 0, 'veh6': 0, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh7': {'veh1': -105.25394439697266, 'veh11': 0, 'veh3': -123.90742301940918, 'veh6': 0, 'veh7': 0, 'veh8': -75.55067539215088, 'veh9': -200}, 'veh8': {'veh1': -102.43173599243164, 'veh11': 0, 'veh3': -200, 'veh6': 0, 'veh7': -75.5510950088501, 'veh8': 0, 'veh9': -200}, 'veh9': {'veh1': 0, 'veh11': 0, 'veh3': 0, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': 0}}" "{'veh1': {'veh1': 0, 'veh11': 30.513221740722656, 'veh3': -200, 'veh6': 118.24397277832031, 'veh7': 25.68172264099121, 'veh8': 23.0223445892334, 'veh9': -200}, 'veh11': {'veh1': 30.505611419677734, 'veh11': 0, 'veh3': -200, 'veh6': 20.15484619140625, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh3': {'veh1': -200, 'veh11': -200, 'veh3': 0, 'veh6': -200, 'veh7': 41.191383361816406, 'veh8': 117.56507873535156, 'veh9': -200}, 'veh6': {'veh1': 42.70680618286133, 'veh11': 20.154827117919922, 'veh3': -200, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh7': {'veh1': 25.394752502441406, 'veh11': -200, 'veh3': 41.19160270690918, 'veh6': -200, 'veh7': 0, 'veh8': 21.319153785705566, 'veh9': 117.66952514648438}, 'veh8': {'veh1': 22.688282012939453, 'veh11': -200, 'veh3': 117.56507873535156, 'veh6': -200, 'veh7': 21.319573402404785, 'veh8': 0, 'veh9': 117.36210632324219}, 'veh9': {'veh1': -200, 'veh11': -200, 'veh3': -200, 'veh6': -200, 'veh7': 117.66952514648438, 'veh8': 117.36210632324219, 'veh9': 0}}"
56 "[{'vehId': 'veh1', 'x_coor': -233.60471278472755, 'y_coor': -482.67441792382243, 'z_coor': -0.40135321021080017, 'angle': -3.348807310951691, 'velocity': 17.114819895354845}, {'vehId': 'veh11', 'x_coor': -988.7792623522644, 'y_coor': -621.8238946376443, 'z_coor': -0.40135324001312256, 'angle': -7.092793062199953, 'velocity': 3.355387802585028}, {'vehId': 'veh3', 'x_coor': 792.1035427319221, 'y_coor': 278.5076593008065, 'z_coor': -0.40135321021080017, 'angle': -3.949286298219049, 'velocity': 11.89237797139053}, {'vehId': 'veh6', 'x_coor': -1095.8235242727515, 'y_coor': -509.3710768486816, 'z_coor': -0.40135321021080017, 'angle': -7.093200237735373, 'velocity': 16.799933249408596}, {'vehId': 'veh7', 'x_coor': -130.11419483312739, 'y_coor': 177.09889795556535, 'z_coor': -0.40135321021080017, 'angle': -3.5902166940896207, 'velocity': 14.1124616267991}, {'vehId': 'veh8', 'x_coor': -98.03325429989172, 'y_coor': 162.64665642701414, 'z_coor': -0.4013531804084778, 'angle': -3.549292814431589, 'velocity': 14.186698392081455}, {'vehId': 'veh9', 'x_coor': -718.2020068266418, 'y_coor': 851.8033126040388, 'z_coor': -0.40135324001312256, 'angle': -4.378076448494798, 'velocity': 10.708801380530149}]" "{'veh1': {'veh1': 0, 'veh11': -200, 'veh3': 0, 'veh6': -200, 'veh7': -98.62227439880371, 'veh8': -98.97685050964355, 'veh9': 0}, 'veh11': {'veh1': -200, 'veh11': 0, 'veh3': 0, 'veh6': -87.26297378540039, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh3': {'veh1': 0, 'veh11': 0, 'veh3': 0, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': 0}, 'veh6': {'veh1': -200, 'veh11': -87.27311134338379, 'veh3': 0, 'veh6': 0, 'veh7': 0, 'veh8': 0, 'veh9': 0}, 'veh7': {'veh1': -98.46220970153809, 'veh11': 0, 'veh3': -200, 'veh6': 0, 'veh7': 0, 'veh8': -76.05660438537598, 'veh9': -200}, 'veh8': {'veh1': -98.60551834106445, 'veh11': 0, 'veh3': -200, 'veh6': 0, 'veh7': -76.05629444122314, 'veh8': 0, 'veh9': -123.10314178466797}, 'veh9': {'veh1': 0, 'veh11': 0, 'veh3': 0, 'veh6': 0, 'veh7': -200, 'veh8': -125.14204025268555, 'veh9': 0}}" "{'veh1': {'veh1': 0, 'veh11': 118.97091674804688, 'veh3': -200, 'veh6': 117.96035766601562, 'veh7': 18.80568504333496, 'veh8': 19.270627975463867, 'veh9': -200}, 'veh11': {'veh1': 118.97091674804688, 'veh11': 0, 'veh3': -200, 'veh6': 20.11893081665039, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh3': {'veh1': -200, 'veh11': -200, 'veh3': 0, 'veh6': -200, 'veh7': 117.3280029296875, 'veh8': 117.61477661132812, 'veh9': -200}, 'veh6': {'veh1': 117.96035766601562, 'veh11': 20.12906837463379, 'veh3': -200, 'veh6': 0, 'veh7': -200, 'veh8': -200, 'veh9': -200}, 'veh7': {'veh1': 18.645620346069336, 'veh11': -200, 'veh3': 117.3280029296875, 'veh6': -200, 'veh7': 0, 'veh8': 21.80607032775879, 'veh9': 117.64013671875}, 'veh8': {'veh1': 18.899295806884766, 'veh11': -200, 'veh3': 117.61477661132812, 'veh6': -200, 'veh7': 21.805760383605957, 'veh8': 0, 'veh9': 40.43730926513672}, 'veh9': {'veh1': -200, 'veh11': -200, 'veh3': -200, 'veh6': -200, 'veh7': 117.64013671875, 'veh8': 42.4762077331543, 'veh9': 0}}"
